Audit Log Report - Effective Date[08/24/2026]
"Report generated on - Aug 24, 2026 10:57:19 AM"
Report generated by - Tanishq Gupta

Id,Operation,Activity,Level,Level Details,Date,User,Description,Field,Old Setting,New Setting,Effective From,Package generated or not
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Image Name(19-French),Kiosk_202605_25703_Q2JUNEBR_SausageEggBiscuitMeal,,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Image Name(15-English),Kiosk_202605_25702_Q2JUNEBR_SausageMcMuffinEggMeal,,"Aug 24, 2026",N/A
441270267,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:16:13 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Breakfast Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(19-Cantonese),FIFA World Cup™ Meal - Sausage Egg Biscuit,new btn,"Aug 24, 2026",N/A
441270374,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:18:35 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Lunch Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(79-Mandarin),FIFA World Cup™ $9 Meal Deal  - McDouble ,new btn,"Aug 24, 2026",N/A
441270374,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:18:35 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Lunch Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Image Name(51-English),Kiosk_202606_25878_EVM_M_2RanchSnackWrap,,"Aug 24, 2026",N/A
441270374,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:18:35 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Lunch Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(51-Mandarin),FIFA World Cup™ Meal - 2 Ranch Snack Wrap ,new btn,"Aug 24, 2026",N/A
441270374,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:18:35 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Lunch Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Image Name(51-Cantonese),Kiosk_202606_25878_EVM_M_2RanchSnackWrap,,"Aug 24, 2026",N/A
441270374,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:18:35 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Lunch Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(55-English),FIFA World Cup™ Meal - Mix & Match Snack Wrap ,new btn,"Aug 24, 2026",N/A
441270374,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:18:35 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Lunch Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(55-French),FIFA World Cup™ Meal - Mix & Match Snack Wrap ,new btn,"Aug 24, 2026",N/A
441270374,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:18:35 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Lunch Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(49-SpanishUS),FIFA World Cup™ Meal - 2 Cheeseburger,new btn,"Aug 24, 2026",N/A
441270374,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:18:35 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Lunch Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(49-Mandarin),FIFA World Cup™ Meal - 2 Cheeseburger,new btn,"Aug 24, 2026",N/A
441270374,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:18:35 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Lunch Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Width(49),2,1,"Aug 24, 2026",N/A
441270374,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:18:35 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Lunch Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Width(61),2,1,"Aug 24, 2026",N/A
441270374,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:18:35 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Lunch Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Button(53)(Button(53)),Enable,Disable,"Aug 24, 2026",N/A
441270374,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:18:35 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Lunch Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Width(57),2,1,"Aug 24, 2026",N/A
441270374,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:18:35 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Lunch Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Background Normal Color(57),FORESTGREEN,WHITE,"Aug 24, 2026",N/A
441270374,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:18:35 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Lunch Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Width(79),2,1,"Aug 24, 2026",N/A
441270374,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:18:35 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Lunch Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Image Name(15-SpanishUS),Kiosk_202604_25698_Q2JUNEBR_BigMacMeal,,"Aug 24, 2026",N/A
441270374,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:18:35 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Lunch Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(47-Deutsch),FIFA World Cup™ Meal - Double Quarter Pounder  with Cheese Meal,new btn,"Aug 24, 2026",N/A
441270374,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:18:35 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Lunch Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Image Name(47-Deutsch),Kiosk_202606_25870_EVM_M_DoubleQPC,,"Aug 24, 2026",N/A
441270374,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:18:35 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Lunch Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Image Name(55-English),Kiosk_202606_25882_EVM_M_MixMatchSnackWrap,,"Aug 24, 2026",N/A
441270374,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:18:35 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Lunch Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(55-SpanishUS),FIFA World Cup™ Meal - Mix & Match Snack Wrap ,new btn,"Aug 24, 2026",N/A
441270374,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:18:35 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Lunch Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Button(15)(Button(15)),Enable,Disable,"Aug 24, 2026",N/A
441270374,Manage Screen Set,Update,Market,US Country Office," Aug 24, 2026 5:18:35 AM ",eq961852 - Tanishq Gupta,Current Settings: Screen Kiosk 6 Lunch Menu - Limited Time Promotion of screen set 02 - TSMOA has been updated.,Caption(19-Deutsch),FIFA World Cup™ Meal - 10 pc. Chicken McNuggets®,new btn,"Aug 24, 2026",N/A
